spks_othr_lang_macedonian_m, spks_othr_lan_chin_lan_mand_m, spks_othr_lan_chin_lan_mand_f, spks_othr_lang_macedonian_p, spks_othr_lan_chin_lan_mand_p, spks_eng_on_f, spks_other_lang_italian_f, spks_othr_lang_macedonian_f, gcc_name16, spks_othr_lang_french_p, spks_eng_on_m, spks_eng_on_p, spks_othr_lang_french_m, spks_other_lang_samoan_f, spks_othr_lang_arabic_p, sp_oth_la_se_as_au_la_indo_f, spks_other_lang_maltese_p, spks_othr_lang_dutch_p, spks_other_lang_tamil_f, spks_othr_lang_french_f, spks_other_lang_italian_m, spks_other_lang_maltese_m, spks_othr_lang_dutch_m, spks_other_lang_tamil_m, sp_oth_la_se_as_au_la_indo_m, spks_othr_lang_dutch_f, spks_other_lang_tamil_p, spks_other_lang_italian_p, spks_othr_lang_arabic_m, sp_oth_la_se_as_au_la_indo_p, spks_othr_lang_japanese_f, spks_othr_lang_arabic_f, spks_othr_lang_japanese_m, spks_other_lang_samoan_p, spks_other_lang_samoan_m, spks_othr_lang_japanese_p, tot_f, tot_m, tot_p, spks_other_lang_tot_p, spks_othr_lang_korean_p, spks_othr_lang_korean_m, sp_oth_lan_indo_ary_lan_oth_m, spks_othr_lang_polish_m, spks_othr_lang_polish_p, sp_oth_lan_indo_ary_lan_oth_p, sp_oth_lan_indo_ary_lan_oth_f, spks_othr_lang_korean_f, spks_othr_lang_polish_f, sp_oth_la_se_as_au_la_tot_p, sp_oth_la_se_as_au_la_tot_m, os_visitors_p, sp_oth_la_se_as_au_la_tot_f, sp_oth_lan_indo_ary_lan_urd_p, os_visitors_f, sp_oth_lan_indo_ary_lan_urd_m, sp_oth_lan_indo_ary_lan_urd_f, os_visitors_m, sp_oth_la_se_as_au_la_oth_p, spks_other_lang_spanish_f, spks_othr_lang_aus_ind_lang_f, sp_oth_lan_persian_ex_dari_f, sp_oth_lan_indo_ary_lan_hin_f, sp_oth_lan_ind_ary_lan_sinh_p, spks_othr_lan_chin_lan_othr_f, sp_oth_la_se_as_au_la_tag_m, spks_othr_lang_aus_ind_lang_m, spks_othr_lan_chin_lan_othr_p, spks_other_lang_spanish_m, spks_othr_lang_aus_ind_lang_p, sp_oth_lan_persian_ex_dari_p, spks_othr_lan_chin_lan_othr_m, sp_oth_la_se_as_au_la_tag_f, sp_oth_lan_persian_ex_dari_m, spks_other_lang_spanish_p, sp_oth_la_se_as_au_la_oth_m, gcc_code16, sp_oth_lan_indo_ary_lan_tot_p, sp_oth_lan_indo_ary_lan_hin_p, sp_oth_lan_indo_ary_lan_hin_m, sp_oth_lan_indo_ary_lan_tot_f, spks_other_lang_turkish_f, spks_other_lang_serbian_f, sp_oth_lan_indo_ary_lan_ben_f, sp_oth_lan_indo_ary_lan_tot_m, spks_other_lang_turkish_m, spks_othr_lang_greek_f, spks_other_lang_serbian_m, spks_other_lang_serbian_p, spks_other_lang_turkish_p, spks_othr_lang_greek_p, sp_oth_la_se_as_au_la_oth_f, spks_othr_lang_greek_m, spks_other_lang_tot_m, sp_oth_la_se_as_au_la_tag_p, sp_oth_lan_indo_ary_lan_ben_p, sp_oth_lan_ind_ary_lan_sinh_f, sp_oth_lan_ind_ary_lan_sinh_m, sp_oth_lan_indo_ary_lan_ben_m, spks_other_lang_tot_f, sp_oth_la_se_as_au_la_fili_m, spks_other_lang_thai_p, spks_other_lang_thai_m, spks_other_lang_vietnamese_p, spks_other_lang_other_f, spks_othr_lang_afrikaans_p, spks_othr_lang_croatian_f, sp_oth_la_se_as_au_la_fili_p, sp_oth_lan_ind_ary_lan_punj_m, spks_other_lang_vietnamese_m, spks_othr_lang_afrikaans_m, sp_oth_la_se_as_au_la_fili_f, sp_oth_lan_ind_ary_lan_punj_p, spks_othr_lang_croatian_p, spks_othr_lang_afrikaans_f, spks_othr_lang_croatian_m, sp_oth_lan_ind_ary_lan_punj_f, spks_other_lang_maltese_f, spks_other_lang_vietnamese_f, spks_other_lang_other_p, spks_other_lang_thai_f, spks_other_lang_other_m, spks_othr_lang_german_f, spks_other_lang_russian_f, spks_othr_lan_chin_lan_tot_f, spks_othr_lan_chin_lan_cant_f, spks_othr_lang_german_m, spks_other_lang_russian_m, spks_othr_lan_chin_lan_tot_m, spks_othr_lan_chin_lan_tot_p, spks_other_lang_russian_p, lang_spoken_home_ns_m, lang_spoken_home_ns_f, spks_othr_lan_chin_lan_cant_p, spks_othr_lang_german_p, lang_spoken_home_ns_p, spks_othr_lan_chin_lan_cant_m
4644,5211,5609,9162,10814,1172290,6560,4517,"Rest of NSW",3693,1135058,2307347,1746,522,6661,778,1213,2835,559,1952,6357,586,1247,705,579,1591,1261,12914,3524,1358,1231,3137,854,1102,575,2084,1350936,1313126,2664066,154503,2148,1084,1917,854,2067,3703,1792,1068,1209,9691,3378,13728,6313,1639,7537,965,669,6193,1059,3477,718,580,1420,1263,491,1448,681,1052,3124,1400,1279,567,3054,700,6603,413,"1RNSW",15972,2960,1544,7507,839,1495,689,8470,930,2765,1436,2934,1770,5549,644,2785,74275,4503,1472,634,632,785,80236,937,3183,1014,3579,13865,2376,1335,2776,2631,1636,1202,1839,4942,2639,1177,1309,2307,627,1942,27580,2174,13717,3909,784,8391,2297,3160,519,8040,16424,1301,97599,90884,4554,7067,188485,2262
9322,104586,124318,18956,228906,1411707,32326,9636,"Greater Sydney",19944,1395676,2807380,9650,8095,194040,15157,11088,5865,13367,10293,30314,5331,2734,15030,13457,3130,28402,62642,98423,28614,9031,95615,6174,15452,7358,15210,2487728,2409538,4897269,1726190,57718,27489,31830,5350,12029,60001,28170,30225,6679,95556,41764,81846,53793,28065,45483,15853,12210,36364,4871,30026,299,9804,31889,9980,9155,17087,250,17103,26798,552,20764,7948,23541,10959,56826,2114,"1GSYD",220786,64043,32148,103950,9921,9627,13799,116838,9932,39561,8908,18540,19856,76140,2754,36580,833350,40625,30181,5017,4962,16386,892839,9102,21626,7873,99333,106811,5390,9625,21442,15659,46396,2651,12342,28516,18532,2736,8906,12858,5755,52933,212954,13755,106150,8568,9987,207279,73805,7367,7444,177360,384639,17429,144152,137702,138629,15930,281855,64823
713,3166,3567,1446,6734,625006,5253,732,"Rest of Vic.",1692,599596,1224605,770,195,3258,461,953,2186,352,919,5085,484,964,450,300,1220,799,10334,1745,762,608,1509,439,391,196,1047,723790,697830,1421625,87157,662,339,821,473,1147,1537,718,322,679,5815,2179,7717,3642,779,4212,433,346,3501,804,973,124,371,828,1150,254,817,111,571,839,236,804,317,1418,435,1818,334,"2RVIC",9162,1799,965,4229,718,663,251,4935,771,1617,630,1292,1492,3309,469,1689,42347,2239,538,553,599,290,44810,725,1265,427,2010,9250,894,1550,2020,1832,987,444,1295,3360,3018,449,1468,1530,474,1022,18771,841,9528,1951,400,4754,925,1570,313,4358,9111,706,52387,49765,1802,3515,102149,873
13739,83340,101601,28010,184942,1400087,54250,14269,"Greater Melbourne",17504,1359441,2759529,8268,5793,76317,8662,15869,6216,11506,9240,47090,7403,2777,13326,7364,3436,24834,101341,38500,16029,6084,37814,4325,11217,5427,10411,2311375,2212679,4524054,1449162,14882,6986,16440,6002,13968,31077,14638,7893,7969,59378,25738,65378,33635,22427,37432,13139,9295,27943,6809,17520,192,7281,23511,36224,9908,8749,164,18715,16143,354,15640,8801,12075,8353,33661,3050,"2GMEL",202341,49386,25882,93285,15238,8062,4951,109062,15074,55682,7690,15749,30315,107136,3758,51458,701063,20818,10440,17793,18433,5489,748098,6574,10409,3567,101340,107746,4669,9188,15718,29679,47049,2319,9139,52780,17408,2342,8219,23102,8468,54296,217398,6840,109653,8545,9459,152052,40543,7409,7458,127866,279923,16913,124227,125763,76270,15959,249990,35725
399,23910,29528,854,53439,892366,5196,458,"Greater Brisbane",6368,867072,1759436,3018,7053,9868,2139,463,3540,1941,3354,4864,212,1607,2147,1538,1926,4088,10062,5164,3673,4040,4701,2745,13772,6721,6781,1164374,1117652,2282025,364638,13175,6366,5140,1480,3324,9879,4736,6812,1848,21286,8112,30161,13177,3854,17236,2149,1708,12921,2482,7695,382,2481,7310,4416,1737,3413,340,3239,7060,717,5208,1503,5833,2730,14757,961,"3GBRI",48237,14535,7223,22894,541,1657,1223,25341,649,3855,1615,3274,1193,7547,1525,3687,173181,9244,2552,2200,2222,1335,191453,2205,4174,1286,22562,34164,6179,1182,5886,7279,10623,3026,3683,12993,2277,3148,1091,5713,249,11936,67492,2885,33334,4015,2146,41719,10454,3484,1508,34561,76284,3654,64472,63316,19608,7504,127790,9152
218,7134,9184,441,16320,1063748,5313,226,"Rest of Qld",5774,1041463,2105217,2652,541,3899,1117,975,3805,643,3120,5316,450,1733,821,783,2078,1465,10629,2182,1900,6002,1720,4141,1168,628,10142,1295406,1264746,2560149,195983,6424,3168,2374,843,1989,4603,2227,3251,1145,16541,5894,53393,10644,1111,29416,623,488,23979,1452,3350,6555,727,1713,1497,585,2646,6215,1055,2985,12769,1510,465,5067,786,6338,479,"3RQLD",17014,3663,1948,7924,385,753,540,9085,491,1702,744,1498,877,3274,973,1570,91328,7718,1145,769,733,609,104661,1984,3953,1184,3403,20201,6302,962,5474,2808,1593,3113,3492,4999,1799,3195,838,2192,518,1806,39574,2771,19371,4982,1470,12667,2900,4275,925,10106,22773,2398,107978,97575,5397,9257,205554,2504
12,568,614,29,1185,164762,745,14,"Rest of SA",303,167009,331768,147,20,198,67,36,450,71,161,790,19,196,100,47,252,168,1531,108,113,103,88,75,37,18,180,187513,192886,380395,19039,109,52,65,93,193,117,55,61,97,1931,801,2443,1132,135,1189,68,61,1252,146,137,1373,45,119,158,52,383,1305,103,132,2676,136,50,543,90,268,53,"4RSAU",1601,259,135,745,60,42,63,855,70,700,70,106,130,1543,88,839,9551,925,139,68,91,70,9482,316,243,75,447,1424,529,146,755,426,224,274,438,790,308,253,163,367,20,224,3225,165,1810,576,65,776,114,462,49,723,1502,107,15068,12084,222,1039,27149,106
311,12625,14894,614,27519,494609,14594,307,"Greater Adelaide",2393,473515,968129,1093,57,9072,931,809,2056,1180,1299,12875,357,910,1354,781,1144,2535,27466,4785,1709,1154,4285,863,125,67,2016,663454,630696,1294150,254485,3473,1616,4975,2412,5449,9915,4944,1859,3044,10967,4508,11901,6460,2815,6840,1523,1293,5054,1625,2829,405,2183,3364,2492,1095,1787,326,2155,2563,729,4584,1062,2746,2401,5387,715,"4GADE",33052,7058,3693,15847,276,2053,1103,17203,299,11085,2005,4064,574,21372,914,10291,122476,4533,2270,1238,1256,1168,132009,1226,1715,532,18541,22610,1822,1443,3098,4594,8769,898,1876,8499,2749,924,1313,3902,451,9776,45290,1185,22679,2992,1768,20808,4823,2353,1400,18302,39112,3163,29643,29997,9441,5341,59641,4617
2730,21135,24332,5588,45463,714147,13964,2861,"Greater Perth",8472,693664,1407814,4038,365,13697,5689,347,4161,3133,4441,12614,153,1805,3378,4369,2355,6515,26576,7217,10057,3195,6482,2201,800,437,5396,985993,949606,1935603,388269,6598,3265,5994,2373,5447,11550,5549,3334,3069,36397,16244,23867,20157,5072,13844,2958,2117,10026,6227,5065,416,3130,4743,4601,2204,5519,374,4186,4507,789,6459,1975,6641,3329,9576,2765,"5GPER",46166,10106,5360,21368,788,2478,1485,24798,871,2329,2377,4852,1666,4502,3456,2178,186759,12155,3063,2295,2298,1580,201511,3585,5315,1608,19322,37463,11188,2768,7957,6599,9028,5421,4371,11773,5228,5768,2459,5175,198,10295,74375,3700,36909,4012,1834,36555,10020,3471,1117,31845,68404,2957,59157,56502,18753,7477,115652,8737
158,1211,1126,248,2334,218644,1355,95,"Rest of WA",1104,242258,460898,561,51,427,439,46,957,143,543,1461,24,436,210,391,517,354,2815,266,829,271,163,212,149,92,481,269694,308425,578119,46847,530,328,321,244,526,559,237,198,284,7703,3926,6917,3776,292,3449,167,122,3464,1402,338,4829,83,250,343,54,1639,4585,159,488,9414,236,99,1467,155,828,710,"5RWAU",2495,645,396,1029,13,73,94,1467,39,131,123,197,58,326,694,193,24296,3108,208,143,204,118,22548,1183,1083,284,898,3280,2979,147,2357,266,475,1598,1175,449,335,1384,188,186,14,431,7495,793,4214,1010,141,1449,267,855,122,1589,3041,271,38402,25060,544,1861,63457,285
